name,state_code,state_name,country,lat,lng,population
New York City,NY,New York,US,40.71427,-74.00597,8804190
Los Angeles,CA,California,US,34.05223,-118.24368,3820914
Toronto,ON,Ontario,CA,43.70643,-79.39864,2794356
Brooklyn,NY,New York,US,40.6501,-73.94958,2736074
Chicago,IL,Illinois,US,41.85003,-87.65005,2664452
Queens,NY,New York,US,40.68149,-73.83652,2316841
Houston,TX,Texas,US,29.76328,-95.36327,2314157
Montreal,QC,Quebec,CA,45.50884,-73.58781,1762949
Phoenix,AZ,Arizona,US,33.44838,-112.07404,1650070
Philadelphia,PA,Pennsylvania,US,39.95238,-75.16362,1573916
San Antonio,TX,Texas,US,29.42412,-98.49363,1526656
Manhattan,NY,New York,US,40.78343,-73.96625,1487536
San Diego,CA,California,US,32.71571,-117.16472,1404452
The Bronx,NY,New York,US,40.84985,-73.86641,1385108
Dallas,TX,Texas,US,32.78306,-96.80667,1326087
Calgary,AB,Alberta,CA,51.05011,-114.08529,1306784
Ottawa,ON,Ontario,CA,45.41117,-75.69812,1017449
Edmonton,AB,Alberta,CA,53.55014,-113.46871,1010899
Jacksonville,FL,Florida,US,30.33218,-81.65565,1009833
Fort Worth,TX,Texas,US,32.72541,-97.32085,1008106
San Jose,CA,California,US,37.33939,-121.89496,997368
Austin,TX,Texas,US,30.26715,-97.74306,974447
Columbus,OH,Ohio,US,39.96118,-82.99879,913175
Charlotte,NC,North Carolina,US,35.22709,-80.84313,911311
Indianapolis,IN,Indiana,US,39.76838,-86.15804,887642
San Francisco,CA,California,US,37.77493,-122.41942,827526
Seattle,WA,Washington,US,47.60621,-122.33207,780995
Winnipeg,MB,Manitoba,CA,49.8844,-97.14704,749607
Denver,CO,Colorado,US,39.73915,-104.9847,729019
Mississauga,ON,Ontario,CA,43.5789,-79.6583,717961
Washington,DC,District of Columbia,US,38.89511,-77.03637,689545
Nashville,TN,Tennessee,US,36.16589,-86.78444,689447
Oklahoma City,OK,Oklahoma,US,35.46756,-97.51643,681054
El Paso,TX,Texas,US,31.75872,-106.48693,678815
Vancouver,BC,British Columbia,CA,49.24966,-123.11934,662248
Brampton,ON,Ontario,CA,43.68341,-79.76633,656480
Boston,MA,Massachusetts,US,42.35843,-71.05977,653833
Portland,OR,Oregon,US,45.52345,-122.67621,652503
Detroit,MI,Michigan,US,42.33143,-83.04575,645705
Las Vegas,NV,Nevada,US,36.17497,-115.13722,641903
New South Memphis,TN,Tennessee,US,35.08676,-90.05676,641608
Memphis,TN,Tennessee,US,35.14953,-90.04898,633104
Louisville,KY,Kentucky,US,38.25424,-85.75941,624444
Baltimore,MD,Maryland,US,39.29038,-76.61219,585708
South Boston,MA,Massachusetts,US,42.33343,-71.04949,571281
Hamilton,ON,Ontario,CA,43.25011,-79.84963,569353
Surrey,BC,British Columbia,CA,49.10635,-122.82509,568322
Albuquerque,NM,New Mexico,US,35.08449,-106.65114,564559
Milwaukee,WI,Wisconsin,US,43.0389,-87.90647,563531
Tucson,AZ,Arizona,US,32.22174,-110.92648,542629
Fresno,CA,California,US,36.74773,-119.77237,542107
Quebec,QC,Quebec,CA,46.81228,-71.21454,531902
Sacramento,CA,California,US,38.58157,-121.4944,524943
Atlanta,GA,Georgia,US,33.749,-84.38798,510823
Miami,FL,Florida,US,25.77427,-80.19366,487014
Omaha,NE,Nebraska,US,41.25626,-95.94043,486051
Raleigh,NC,North Carolina,US,35.7721,-78.63861,482295
Kansas City,MO,Missouri,US,39.09973,-94.57857,475378
Long Beach,CA,California,US,33.76696,-118.18923,474140
Mesa,AZ,Arizona,US,33.42227,-111.82264,471825
Halifax,NS,Nova Scotia,CA,44.64269,-63.57688,471559
Staten Island,NY,New York,US,40.56233,-74.13986,468730
Colorado Springs,CO,Colorado,US,38.83388,-104.82136,456568
Virginia Beach,VA,Virginia,US,36.85293,-75.97799,454808
Laval,QC,Quebec,CA,45.56995,-73.692,438366
London,ON,Ontario,CA,42.98339,-81.23304,422324
Oakland,CA,California,US,37.80437,-122.2708,419267
Tampa,FL,Florida,US,27.94752,-82.45843,414547
Tulsa,OK,Oklahoma,US,36.15398,-95.99277,413066
Minneapolis,MN,Minnesota,US,44.97997,-93.26384,410939
Wichita,KS,Kansas,US,37.69224,-97.33754,396119
